BackendTime,servoVoltage,ch0sens,ch1sens,ch2sens,ch3sens,ch4sens,ch5sens,flowmeter,Of,FuelFlowCalc,oxAngle,fuelAngle,system_status,system_time
1740321429233.9297,5.96029806137085,0.7931890487670898,0.9764106273651124,1.1542929410934448,1.0088238716125488,34.068050384521484,655.0,0.0,-0.9812649488449096,0.0,0,0,65537,5160134
1740321429253.8662,5.977063655853272,0.8009293079376221,0.9653198719024658,1.1559233665466309,1.0095494985580444,34.056278228759766,680.0,0.0,-0.9812649488449096,0.0,0,0,65537,5160155
1740321429275.0784,5.9519147872924805,0.8004634380340576,0.9829683303833008,1.169594168663025,1.007576823234558,34.03327178955078,671.0,0.0,-0.9812649488449096,0.0,0,0,65537,5160176
1740321429296.4238,5.96029806137085,0.7990121245384216,0.9776827692985536,1.1715292930603027,1.008399248123169,34.05009460449219,680.0,0.0,-0.9812649488449096,0.0,0,0,65537,5160197
1740321429318.598,6.002212524414063,0.79564368724823,0.9821082949638368,1.1534866094589231,1.0093882083892822,34.03386306762695,666.0,0.0,-0.9812649488449096,0.0,0,0,65537,5160217
1740321429337.6377,5.956106185913086,0.7907522916793823,0.9663053154945374,1.1701496839523315,1.0102052688598633,34.05950164794922,685.0,0.0,-0.9812649488449096,0.0,0,0,65537,5160238
1740321429364.7952,5.981255054473877,0.7866851091384888,0.9634743928909302,1.1613881587982178,1.0068135261535645,34.03778839111328,671.0,0.0,-0.9812649488449096,0.0,0,0,65537,5160260
1740321429393.6423,5.9519147872924805,0.7728350758552551,0.9643881916999816,1.163341045379639,1.0081841945648191,34.035152435302734,683.0,0.0,-0.9812649488449096,0.0,0,0,65537,5160290
1740321429403.119,5.943531513214111,0.7776368856430054,0.96109139919281,1.1547229290008545,1.0083024501800537,34.01429748535156,675.0,0.0,-0.9812649488449096,0.0,0,0,65537,5160303
1740321429422.2383,6.002212524414063,0.7737129926681519,0.9600343108177184,1.1585392951965332,1.008194923400879,34.038055419921875,676.0,0.0,-0.9812649488449096,0.0,0,0,65537,5160322
1740321429441.9077,5.9686808586120605,0.7780848145484924,0.9548562169075012,1.159202218055725,1.008103609085083,34.01633834838867,671.0,0.0,-0.9812649488449096,0.0,0,0,65537,5160343
