BackendTime,servoVoltage,ch0sens,ch1sens,ch2sens,ch3sens,ch4sens,ch5sens,flowmeter,Of,FuelFlowCalc,oxAngle,fuelAngle,system_status,system_time
1740324138071.545,5.985446929931641,0.9129119515419006,1.014789342880249,1.178355693817139,1.023035764694214,34.32777786254883,684.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869005
1740324138094.1335,5.993829727172852,0.9203118085861206,1.0137501955032349,1.1832650899887085,1.023132562637329,34.328853607177734,678.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869025
1740324138113.8352,6.002212524414063,0.921333074569702,1.0144668817520142,1.1808462142944336,1.0226004123687744,34.317081451416016,670.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869045
1740324138134.0757,6.006403923034668,0.92099267244339,1.0124242305755615,1.1804521083831787,1.0216221809387207,34.34223556518555,685.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869065
1740324138151.7966,5.985446929931641,0.922963559627533,1.0128722190856934,1.1886581182479858,1.022358536720276,34.36922073364258,668.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869086
1740324138172.605,5.981255054473877,0.9288582801818848,1.01869535446167,1.185988426208496,1.021804928779602,34.37674331665039,654.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869107
1740324138192.9023,5.90161657333374,0.9263498783111572,1.002193570137024,1.1826916933059692,1.023890495300293,34.361907958984375,696.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869127
1740324138213.918,6.002212524414063,0.9259198904037476,1.0180323123931885,1.1686983108520508,1.022525191307068,34.31009292602539,665.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869148
1740324138241.1208,5.985446929931641,0.9268157482147216,1.017691969871521,1.1755069494247437,1.0242022275924685,34.34400939941406,700.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869168
1740324138272.0942,5.981255054473877,0.922551453113556,1.003089427947998,1.1677486896514893,1.02332603931427,34.35099792480469,642.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869198
1740324138283.6064,5.884850978851318,0.9262602925300598,0.9975708723068236,1.178857445716858,1.0231109857559204,34.35637283325195,679.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869215
1740324138297.836,5.926765441894531,0.9352189302444458,1.0060994625091553,1.17453932762146,1.021342635154724,34.348472595214844,700.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869231
1740324138320.1409,5.985446929931641,0.9271382689476012,1.0003122091293335,1.183533787727356,1.0216436386108398,34.31455612182617,676.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869252
1740324138339.3276,5.985446929931641,0.925561547279358,1.0086078643798828,1.19179368019104,1.022842288017273,34.35841751098633,692.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869273
1740324138359.6443,5.993829727172852,0.927568256855011,1.0107579231262207,1.182136297225952,1.0228369235992432,34.348201751708984,672.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869293
1740324138379.8452,5.993829727172852,0.9304887652397156,1.0043615102767944,1.185433030128479,1.021181344985962,34.3228874206543,697.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869313
1740324138399.7534,5.985446929931641,0.9348964095115662,1.0085362195968628,1.18955397605896,1.0255568027496338,34.329872131347656,680.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869333
1740324138421.0642,5.981255054473877,0.9335705637931824,1.0067803859710691,1.1887656450271606,1.0270510911941528,34.32675552368164,697.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869353
1740324138443.5095,6.006403923034668,0.940612018108368,1.003483533859253,1.186579704284668,1.022584319114685,34.327293395996094,698.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869373
1740324138463.1533,5.981255054473877,0.9452704787254332,0.9999718070030212,1.17692232131958,1.0233367681503296,34.35653305053711,708.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869395
1740324138482.6318,5.981255054473877,0.9350576996803284,0.9970333576202391,1.1814733743667605,1.0228906869888306,34.3287467956543,690.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869415
1740324138502.273,5.977063655853272,0.9293779134750366,0.9951162338256836,1.167515754699707,1.0234980583190918,34.31756591796875,644.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869436
1740324138522.3423,6.0273613929748535,0.9292703866958618,1.015273094177246,1.1716725826263428,1.0222617387771606,34.3207893371582,671.0,0.0,-0.9812649488449096,0.0,0,0,65537,7869456
